#HDR T 700.000000
#HDR DT 0.040000
#HDR theta0 0.087000
#HDR omega0 1000.000000
#HDR L 1.000000
#HDR M 1.000000
#HDR g 9.810000
#passo tempo theta w alpha
279.000000 11.160000 11159.105469 999.998108 -1.643851
280.000000 11.200000 11199.104492 999.842896 -6.117351
281.000000 11.240000 11239.093750 999.916565 9.799609
282.000000 11.280000 11279.098633 999.974426 -6.906187
283.000000 11.320000 11319.091797 999.823242 -0.652217
284.000000 11.360000 11359.083984 999.965698 7.775344
285.000000 11.400000 11399.088867 999.928162 -9.651373
286.000000 11.440000 11439.078125 999.835876 5.037558
287.000000 11.480000 11479.075195 999.995422 2.939895
288.000000 11.520000 11519.077148 999.875671 -8.926401
289.000000 11.559999 11559.065430 999.875916 8.938345
290.000000 11.599999 11599.067383 999.995361 -2.967444
291.000000 11.639999 11639.065430 999.835938 -5.004510
292.000000 11.679999 11679.054688 999.928711 9.644409
293.000000 11.719999 11719.059570 999.965637 -7.798741
294.000000 11.759999 11759.052734 999.823669 0.700152
295.000000 11.800000 11799.046875 999.974976 6.865139
296.000000 11.840000 11839.051758 999.916260 -9.802092
297.000000 11.880000 11879.041016 999.843445 6.162297
298.000000 11.920000 11919.040039 999.998413 1.587009
299.000000 11.960000 11959.041016 999.864807 -8.266560
300.000000 12.000000 11999.028320 999.887756 9.414778
301.000000 12.040000 12039.031250 999.991028 -4.251118
302.000000 12.080000 12079.028320 999.830444 -3.778886
303.000000 12.120000 12119.018555 999.940796 9.296787
304.000000 12.160000 12159.024414 999.955505 -8.561855
305.000000 12.200000 12199.015625 999.825439 2.057953
306.000000 12.240000 12239.010742 999.982849 5.813038
307.000000 12.280000 12279.014648 999.903870 -9.761224
308.000000 12.320000 12319.002930 999.851868 7.160047
309.000000 12.360000 12359.002930 999.999512 0.221388
310.000000 12.400000 12399.002930 999.854858 -7.455351
311.000000 12.440000 12438.991211 999.899902 9.707193
312.000000 12.480000 12478.995117 999.985046 -5.450540
313.000000 12.520000 12518.990234 999.826233 -2.488671
314.000000 12.559999 12558.981445 999.951843 8.769215
315.000000 12.599999 12598.986328 999.944397 -9.142548
316.000000 12.639999 12638.977539 999.828857 3.366534
317.000000 12.679999 12678.973633 999.989258 4.654164
318.000000 12.719999 12718.977539 999.891724 -9.529570
319.000000 12.759999 12758.965820 999.861633 8.025307
320.000000 12.799999 12798.966797 999.998962 -1.158073
321.000000 12.840000 12838.965820 999.845947 -6.493270
322.000000 12.880000 12878.955078 999.912292 9.809921
323.000000 12.920000 12918.958984 999.977661 -6.541939
324.000000 12.960000 12958.953125 999.823975 -1.140974
325.000000 13.000000 12998.945312 999.962463 8.064792
326.000000 13.040000 13038.950195 999.932739 -9.551414
327.000000 13.080000 13078.939453 999.833923 4.610228
328.000000 13.120000 13118.936523 999.994202 3.404323
329.000000 13.160000 13158.939453 999.880005 -9.115200
330.000000 13.200000 13198.927734 999.872314 8.729341
331.000000 13.240000 13238.929688 999.996765 -2.505321
332.000000 13.280000 13278.927734 999.838440 -5.412269
333.000000 13.320000 13318.916992 999.924622 9.720825
334.000000 13.360000 13358.921875 999.969116 -7.497510
